,Method,Classifier,Accuracy,CV Mean,CV Std
17,CTGAN,Decision Tree,0.5324675324675324,0.5520058643209383,0.035340262646880324
19,CopulaGAN,Decision Tree,0.5324675324675324,0.5456084232973477,0.045737221597232945
22,DecisionTree,Decision Tree,0.6428571428571429,0.7018792483006797,0.02793078657637543
20,GaussianCopula,Decision Tree,0.7012987012987013,0.5978008796481407,0.0379227825683402
23,MonteCarlo,Decision Tree,0.538961038961039,0.5456484073037451,0.03205067229748051
16,Original,Decision Tree,0.6883116883116883,0.6904971344795415,0.04190722335030823
21,SMOTE,Decision Tree,0.7337662337662337,0.7612500000000001,0.029421505739849533
18,TVAE,Decision Tree,0.6623376623376623,0.8469145675063308,0.007782275112826076
33,CTGAN,Gradient Boosting,0.7207792207792207,0.5813674530187926,0.02710903839028689
35,CopulaGAN,Gradient Boosting,0.37012987012987014,0.589537518326003,0.018399865688120513
38,DecisionTree,Gradient Boosting,0.7207792207792207,0.7279888044782087,0.03675370041300631
36,GaussianCopula,Gradient Boosting,0.7337662337662337,0.6546847927495668,0.022183914051581075
39,MonteCarlo,Gradient Boosting,0.5064935064935064,0.576556044248967,0.05717750817185366
32,Original,Gradient Boosting,0.7727272727272727,0.7557110489137678,0.026611531606942792
37,SMOTE,Gradient Boosting,0.7727272727272727,0.79625,0.04003904344511744
34,TVAE,Gradient Boosting,0.7597402597402597,0.8843795815007329,0.019428460532264935
9,CTGAN,KNN,0.6428571428571429,0.5520058643209383,0.05890530045533722
11,CopulaGAN,KNN,0.512987012987013,0.5455817672930828,0.03171689285277846
14,DecisionTree,KNN,0.6948051948051948,0.6173397307743569,0.036003973967589004
12,GaussianCopula,KNN,0.7077922077922078,0.6254298280687726,0.02878127671007594
15,MonteCarlo,KNN,0.6168831168831169,0.5814740770358523,0.025875745497721075
8,Original,KNN,0.7402597402597403,0.716566706650673,0.022077641424717544
13,SMOTE,KNN,0.7077922077922078,0.7337499999999999,0.04003904344511744
10,TVAE,KNN,0.7467532467532467,0.8681327469012394,0.021194892844065966
49,CTGAN,LightGBM,0.6883116883116883,0.589537518326003,0.028538785107941174
51,CopulaGAN,LightGBM,0.4805194805194805,0.5976542716246834,0.024506191395923253
54,DecisionTree,LightGBM,0.7077922077922078,0.739370918299347,0.030373695179524197
52,GaussianCopula,LightGBM,0.7337662337662337,0.6399706783953085,0.034992430374204256
55,MonteCarlo,LightGBM,0.5324675324675324,0.592869518859123,0.050091760088514105
48,Original,LightGBM,0.7337662337662337,0.7394109023057445,0.027221823625770983
53,SMOTE,LightGBM,0.7272727272727273,0.8112499999999999,0.04209364560120684
50,TVAE,LightGBM,0.7727272727272727,0.8925763028122085,0.026748207852822243
1,CTGAN,Logistic Regression,0.7207792207792207,0.5895775023324005,0.04161561474909744
3,CopulaGAN,Logistic Regression,0.43506493506493504,0.5716113554578169,0.03221192554729884
6,DecisionTree,Logistic Regression,0.6623376623376623,0.6498067439690791,0.037712405751442316
4,GaussianCopula,Logistic Regression,0.7337662337662337,0.6758230041316807,0.032264216586303955
7,MonteCarlo,Logistic Regression,0.6428571428571429,0.6433693189390911,0.028255792019579506
0,Original,Logistic Regression,0.7727272727272727,0.7769292283086766,0.023999420758712316
5,SMOTE,Logistic Regression,0.7597402597402597,0.745,0.029947871376777346
2,TVAE,Logistic Regression,0.7337662337662337,0.889257630281221,0.010956752682129438
25,CTGAN,Random Forest,0.7402597402597403,0.589564174330268,0.02176720233595534
27,CopulaGAN,Random Forest,0.44805194805194803,0.5798080767692922,0.03348925692852531
30,DecisionTree,Random Forest,0.7207792207792207,0.723084099693456,0.03249862172145781
28,GaussianCopula,Random Forest,0.7532467532467533,0.6676795948287353,0.032689609061440944
31,MonteCarlo,Random Forest,0.538961038961039,0.5879381580701053,0.02562568284166659
24,Original,Random Forest,0.7532467532467533,0.7606024256963881,0.03182166503360367
29,SMOTE,Random Forest,0.8051948051948052,0.81375,0.03020761493398644
26,TVAE,Random Forest,0.7467532467532467,0.900719712115154,0.02867647190358968
41,CTGAN,XGBoost,0.6168831168831169,0.5797281087564975,0.024232697708772188
43,CopulaGAN,XGBoost,0.4675324675324675,0.5830334532853525,0.02008472876351822
46,DecisionTree,XGBoost,0.7077922077922078,0.7605091296814608,0.026339194238693915
44,GaussianCopula,XGBoost,0.7142857142857143,0.6529921364787418,0.04444113141626098
47,MonteCarlo,XGBoost,0.5584415584415584,0.591203518592563,0.04723436434299144
40,Original,XGBoost,0.7142857142857143,0.7182460349193656,0.04063864994310216
45,SMOTE,XGBoost,0.7402597402597403,0.79875,0.03820176697484033
42,TVAE,XGBoost,0.7467532467532467,0.8958150073304012,0.024184415502782657
