Transformation,Model,No Scaling CV Accuracy,Transformation CV Accuracy,CV Improvement,No Scaling Test Accuracy,Transformation Test Accuracy,Test Improvement
Standard,KNN,0.7403973509933774,0.9099337748344372,0.1695364238410597,0.7724867724867724,0.8571428571428571,0.08465608465608465
MinMax,KNN,0.7403973509933774,0.9086092715231787,0.16821192052980127,0.7724867724867724,0.8624338624338624,0.08994708994709
Robust,KNN,0.7403973509933774,0.9046357615894041,0.16423841059602662,0.7724867724867724,0.8677248677248677,0.09523809523809523
Yeo-Johnson,KNN,0.7403973509933774,0.9006622516556291,0.16026490066225163,0.7724867724867724,0.8624338624338624,0.08994708994709
Binning,KNN,0.7403973509933774,0.8940397350993378,0.15364238410596032,0.7724867724867724,0.8412698412698413,0.06878306878306883
Quantile,KNN,0.7403973509933774,0.8397350993377483,0.09933774834437081,0.7724867724867724,0.8518518518518519,0.07936507936507942
MinMax,Logistic Regression,0.9046357615894041,0.9205298013245032,0.015894039735099175,0.8677248677248677,0.873015873015873,0.005291005291005346
Yeo-Johnson,Logistic Regression,0.9046357615894041,0.9139072847682119,0.009271523178807861,0.8677248677248677,0.8783068783068783,0.010582010582010581
Quantile,Decision Tree,0.8503311258278146,0.8582781456953642,0.007947019867549643,0.7936507936507936,0.7936507936507936,0.0
Yeo-Johnson,Random Forest,0.9112582781456954,0.9178807947019868,0.0066225165562914245,0.8835978835978836,0.8677248677248677,-0.015873015873015928
MinMax,Random Forest,0.9112582781456954,0.9178807947019866,0.0066225165562912025,0.8835978835978836,0.8888888888888888,0.005291005291005235
Quantile,Random Forest,0.9112582781456954,0.9152317880794703,0.003973509933774877,0.8835978835978836,0.873015873015873,-0.010582010582010581
Robust,Random Forest,0.9112582781456954,0.9152317880794703,0.003973509933774877,0.8835978835978836,0.8888888888888888,0.005291005291005235
Standard,Random Forest,0.9112582781456954,0.9139072847682119,0.0026490066225165476,0.8835978835978836,0.8677248677248677,-0.015873015873015928
Robust,Logistic Regression,0.9046357615894041,0.9072847682119205,0.0026490066225164366,0.8677248677248677,0.8677248677248677,0.0
Robust,Decision Tree,0.8503311258278146,0.852980132450331,0.0026490066225164366,0.7936507936507936,0.7724867724867724,-0.021164021164021163
Binning,Logistic Regression,0.9046357615894041,0.9059602649006623,0.0013245033112582183,0.8677248677248677,0.8624338624338624,-0.005291005291005235
Yeo-Johnson,XGBoost,0.9059602649006621,0.9059602649006621,0.0,0.8571428571428571,0.8571428571428571,0.0
Yeo-Johnson,Gradient Boosting,0.9125827814569536,0.9125827814569536,0.0,0.8783068783068783,0.8783068783068783,0.0
Quantile,XGBoost,0.9059602649006621,0.9059602649006621,0.0,0.8571428571428571,0.8571428571428571,0.0
Standard,Logistic Regression,0.9046357615894041,0.9046357615894041,0.0,0.8677248677248677,0.8677248677248677,0.0
Robust,LightGBM,0.9086092715231787,0.9086092715231787,0.0,0.8624338624338624,0.8624338624338624,0.0
Robust,XGBoost,0.9059602649006621,0.9059602649006621,0.0,0.8571428571428571,0.8571428571428571,0.0
Robust,Gradient Boosting,0.9125827814569536,0.9125827814569536,0.0,0.8783068783068783,0.8783068783068783,0.0
MinMax,LightGBM,0.9086092715231787,0.9086092715231787,0.0,0.8624338624338624,0.8624338624338624,0.0
MinMax,XGBoost,0.9059602649006621,0.9059602649006621,0.0,0.8571428571428571,0.8571428571428571,0.0
MinMax,Gradient Boosting,0.9125827814569536,0.9125827814569536,0.0,0.8783068783068783,0.8783068783068783,0.0
Standard,XGBoost,0.9059602649006621,0.9059602649006621,0.0,0.8571428571428571,0.8571428571428571,0.0
Quantile,Gradient Boosting,0.9125827814569536,0.9112582781456954,-0.0013245033112582183,0.8783068783068783,0.8783068783068783,0.0
Standard,Gradient Boosting,0.9125827814569536,0.9112582781456954,-0.0013245033112582183,0.8783068783068783,0.8783068783068783,0.0
Standard,LightGBM,0.9086092715231787,0.9072847682119205,-0.0013245033112582183,0.8624338624338624,0.8624338624338624,0.0
Quantile,LightGBM,0.9086092715231787,0.9072847682119205,-0.0013245033112582183,0.8624338624338624,0.8624338624338624,0.0
Yeo-Johnson,LightGBM,0.9086092715231787,0.9072847682119205,-0.0013245033112582183,0.8624338624338624,0.8624338624338624,0.0
Yeo-Johnson,Decision Tree,0.8503311258278146,0.8490066225165563,-0.0013245033112582183,0.7936507936507936,0.7936507936507936,0.0
MinMax,Decision Tree,0.8503311258278146,0.8463576158940397,-0.003973509933774877,0.7936507936507936,0.8148148148148148,0.021164021164021163
Binning,Random Forest,0.9112582781456954,0.9072847682119205,-0.003973509933774877,0.8835978835978836,0.8359788359788359,-0.04761904761904767
Quantile,Logistic Regression,0.9046357615894041,0.8940397350993378,-0.010596026490066301,0.8677248677248677,0.8518518518518519,-0.015873015873015817
Standard,Decision Tree,0.8503311258278146,0.83841059602649,-0.01192052980132452,0.7936507936507936,0.7936507936507936,0.0
Binning,XGBoost,0.9059602649006621,0.8927152317880795,-0.013245033112582516,0.8571428571428571,0.8571428571428571,0.0
Binning,Decision Tree,0.8503311258278146,0.8370860927152318,-0.013245033112582738,0.7936507936507936,0.8253968253968254,0.031746031746031744
Binning,LightGBM,0.9086092715231787,0.8940397350993378,-0.014569536423840956,0.8624338624338624,0.8624338624338624,0.0
Binning,Gradient Boosting,0.9125827814569536,0.8900662251655629,-0.02251655629139071,0.8783068783068783,0.8677248677248677,-0.010582010582010581
